old_name,tree_name
Rhinolophus_hildebrandti,Rhinolophus_hildebrandtii
Tadarida_condylura,Mops_condylurus
Tadarida_plicata,Chaerephon_plicatus
Tadarida_pumila,Chaerephon_pumilus
Myotis_pilosus,Myotis_ricketti
Dermanura_phaeotis,Artibeus_phaeotis
Hipposideros_commersonii,Hipposideros_commersoni
Artibeus_planirostris,Artibeus_jamaicensis
Chaerephon_pusillus,Chaerephon_pumilus
Dermanura_cinerea,Artibeus_cinereus
Dermanura_tolteca,Artibeus_toltecus
Miniopterus_fuliginosus,Miniopterus_schreibersii
Myotis_pilosus,Myotis_ricketti
Neoromicia_nana,Neoromicia_nanus
Parastrellus_hesperus,Pipistrellus_hesperus
Perimyotis_subflavus,Pipistrellus_subflavus
Tadarida_plicatus,Chaerephon_plicatus
Triaenops_afer,Triaenops_persicus
Carollia_sowelli,Carollia_brevicauda
Aethomys_namaquensis,Micaelamys_namaquensis
Alopex_lagopus,Vulpes_lagopus
Bos_mutus,Bos_grunniens
Bubalus_arnee,Bubalus_bubalis
Bos_gaurus,Bos_frontalis
Cervus_timorensis,Rusa_timorensis
Choeropsis_liberiensis,Hexaprotodon_liberiensis
Equus_quagga,Equus_burchellii
Felis_concolor,Puma_concolor
Handleyomys_alfaroi,Oryzomys_alfaroi
Herpestes_sanguineus,Galerella_sanguinea
Hylaeamys_laticeps,Oryzomys_laticeps
Hylaeamys_megacephalus,Oryzomys_megacephalus
Mico_leucippe,Callithrix_leucippe
Nephelomys_albigularis,Oryzomys_albigularis
Ovis_orientalis,Ovis_aries
Physeter_macrocephalus,Physeter_catodon
Procolobus_badius,Piliocolobus_badius
Procolobus_rufomitratus,Piliocolobus_rufomitratus
Pseudalopex_gymnocercus,Lycalopex_gymnocercus
Pseudalopex_vetulus,Lycalopex_vetulus
Sooretamys_angouya,Oryzomys_angouya
Tragelaphus_oryx,Taurotragus_oryx
Canis_familiaris,Canis_lupus
Lama_pacos,Vicugna_vicugna
Capra_aegagrus,Capra_hircus
Vicugna_pacos,Vicugna_vicugna
Gerbilliscus_kempii,Gerbilliscus_kempi
Callospermophilus_lateralis,Spermophilus_lateralis
Erethizon_dorsatus,Erethizon_dorsatum
Otospermophilus_beecheyi,Spermophilus_beecheyi
Urocitellus_columbianus,Spermophilus_columbianus
Urocitellus_richardsonii,Spermophilus_richardsonii
Lagothrix_lagothricha,Lagothrix_lagotricha
Ictidomys_tridecemlineatus,Spermophilus_tridecemlineatus
Otospermophilus_variegatus,Spermophilus_variegatus
Urocitellus_undulatus,Spermophilus_undulatus
Sapajus_apella,Cebus_apella
Urocitellus_parryii,Spermophilus_parryii
